individual,probe,arena,missed_strikes,succesful_strikes,dead_prey_strikes,missed_dead_prey_strikes,latency_min,null_strikes,light_environment,strikes_before_success
C1,control,horizontal,1,2,0,0,3.45,NA,normal,NA
C2,control,horizontal,2,0,0,0,NA,NA,normal,NA
C3,control,horizontal,2,5,4,2,0.4,NA,normal,NA
C4,control,horizontal,1,3,0,0,1.48,NA,normal,NA
C5,control,horizontal,2,2,0,0,20.27,NA,normal,NA
C6,control,horizontal,3,0,0,0,NA,NA,normal,NA
C7,control,horizontal,1,2,0,0,11.41,NA,normal,NA
C8,control,horizontal,3,2,0,0,4.29,NA,normal,NA
C9,control,horizontal,1,2,0,1,7.25,NA,normal,NA
C11,control,horizontal,1,2,0,0,3.35,NA,normal,NA
C12,control,horizontal,3,1,1,1,1.37,NA,normal,NA
C13,control,horizontal,1,1,1,1,0.14,NA,normal,NA
191_1,lens3_191,horizontal,1,7,5,0,8.5,NA,normal,NA
191_2,lens3_191,horizontal,2,1,0,0,23.45,NA,normal,NA
191_3,lens3_191,horizontal,2,2,0,0,16.16,NA,normal,NA
191_4,lens3_191,horizontal,0,3,0,0,0.35,NA,normal,NA
191_5,lens3_191,horizontal,1,5,2,0,4.55,NA,normal,NA
191_6,lens3_191,horizontal,2,3,0,0,11.18,NA,normal,NA
191_7,lens3_191,horizontal,3,2,0,0,5.56,NA,normal,NA
191_8,lens3_191,horizontal,2,2,0,0,4.22,NA,normal,NA
191_9,lens3_191,horizontal,5,2,1,1,0.13,NA,normal,NA
191_10,lens3_191,horizontal,0,10,8,0,2.5,NA,normal,NA
191_11,lens3_191,horizontal,1,0,0,0,NA,NA,normal,NA
191_12,lens3_191,horizontal,2,3,0,0,12.15,NA,normal,NA
191_13,lens3_191,horizontal,4,7,4,0,0.45,NA,normal,NA
249_1,lens3_249,horizontal,2,2,0,0,1.07,NA,normal,NA
249_2,lens3_249,horizontal,1,3,1,1,1.46,NA,normal,NA
249_3,lens3_249,horizontal,1,6,3,0,8.2,NA,normal,NA
249_4,lens3_249,horizontal,3,2,0,0,8.57,NA,normal,NA
249_5,lens3_249,horizontal,2,2,0,0,17.33,NA,normal,NA
249_6,lens3_249,horizontal,0,2,0,0,6.2,NA,normal,NA
249_7,lens3_249,horizontal,1,2,0,0,5.28,NA,normal,NA
249_8,lens3_249,horizontal,2,0,0,0,NA,NA,normal,NA
249_10,lens3_249,horizontal,2,3,1,1,2.17,NA,normal,NA
249_11,lens3_249,horizontal,1,2,0,0,0.4,NA,normal,NA
C1,control,vertical,1,5,4,0,1.4,NA,normal,NA
C2,control,vertical,1,4,2,1,8.1,NA,normal,NA
C3,control,vertical,1,4,2,1,2.24,NA,normal,NA
C4,control,vertical,4,5,6,3,0.31,NA,normal,NA
C5,control,vertical,1,3,1,1,0.19,NA,normal,NA
C6,control,vertical,2,3,1,1,6.33,NA,normal,NA
C8,control,vertical,2,6,4,0,2.54,NA,normal,NA
C9,control,vertical,4,5,4,2,6.47,NA,normal,NA
C11,control,vertical,3,4,1,0,3.35,NA,normal,NA
C12,control,vertical,1,1,1,1,8.2,NA,normal,NA
C13,control,vertical,1,2,0,0,24.16,NA,normal,NA
191_1,lens3_191,vertical,0,3,1,0,7.07,NA,normal,NA
191_2,lens3_191,vertical,0,1,0,0,22.5,NA,normal,NA
191_3,lens3_191,vertical,2,6,5,1,2.06,NA,normal,NA
191_4,lens3_191,vertical,0,2,0,0,4.46,NA,normal,NA
191_5,lens3_191,vertical,3,3,1,1,11.11,NA,normal,NA
191_6,lens3_191,vertical,0,3,0,0,2.1,NA,normal,NA
191_7,lens3_191,vertical,2,7,6,1,1.18,NA,normal,NA
191_8,lens3_191,vertical,0,0,0,0,NA,NA,normal,NA
191_9,lens3_191,vertical,2,3,0,0,0.57,NA,normal,NA
191_10,lens3_191,vertical,6,4,4,3,5.28,NA,normal,NA
191_11,lens3_191,vertical,2,4,3,1,1.29,NA,normal,NA
191_12,lens3_191,vertical,8,3,2,0,18.21,NA,normal,NA
191_13,lens3_191,vertical,5,5,3,1,6.58,NA,normal,NA
249_1,lens3_249,vertical,1,7,5,0,0.57,NA,normal,NA
249_2,lens3_249,vertical,7,3,4,4,1.46,NA,normal,NA
249_3,lens3_249,vertical,5,10,12,4,1.27,NA,normal,NA
249_4,lens3_249,vertical,2,6,4,1,5.55,NA,normal,NA
249_5,lens3_249,vertical,1,2,0,0,1.17,NA,normal,NA
249_6,lens3_249,vertical,1,1,0,0,6.58,NA,normal,NA
249_7,lens3_249,vertical,2,3,1,0,2.55,NA,normal,NA
249_8,lens3_249,vertical,4,1,0,0,17.53,NA,normal,NA
249_10,lens3_249,vertical,4,2,2,1,5.53,NA,normal,NA
249_11,lens3_249,vertical,2,3,2,1,4.28,NA,normal,NA
191_F1,lens3_191,horizontal,2,2,1,1,5.03,0,dark,1
191_F1,lens3_191,vertical,0,2,0,NA,8.34,1,dark,0
191_F2,lens3_191,horizontal,2,2,0,NA,5.1,0,dark,0
191_F2,lens3_191,vertical,0,2,0,NA,2.47,0,dark,0
191_F3,lens3_191,horizontal,3,3,1,1,6.13,1,dark,1
191_F3,lens3_191,vertical,2,2,0,NA,10.47,1,dark,1
191_F4,lens3_191,horizontal,3,2,0,NA,6.54,0,dark,2
191_F4,lens3_191,vertical,9,2,0,0,9.37,3,dark,4
191_F5,lens3_191,horizontal,7,3,0,NA,2.1,0,dark,6
191_F5,lens3_191,vertical,10,0,0,NA,NA,2,dark,NA
191_F6,lens3_191,horizontal,2,2,0,NA,2.27,0,dark,0
191_F6,lens3_191,vertical,3,2,0,NA,5.02,1,dark,2
191_F7,lens3_191,horizontal,1,3,1,1,1.47,2,dark,0
191_F7,lens3_191,vertical,13,1,0,NA,13.54,3,dark,13
191_F8,lens3_191,horizontal,0,2,0,NA,7.37,0,dark,0
191_F8,lens3_191,vertical,2,2,0,NA,3.24,4,dark,2
191_F9,lens3_191,horizontal,0,3,1,0,1.32,0,dark,1
191_F9,lens3_191,vertical,1,3,0,NA,0.32,0,dark,0
191_F11,lens3_191,horizontal,0,2,0,NA,9.55,0,dark,0
191_F11,lens3_191,vertical,0,1,0,NA,8.04,2,dark,0
249_F2,lens3_249,horizontal,0,2,0,NA,16.22,0,dark,0
249_F2,lens3_249,vertical,1,1,0,NA,17.35,0,dark,1
249_F3,lens3_249,horizontal,1,2,0,NA,12.57,0,dark,1
249_F4,lens3_249,horizontal,4,3,2,1,13.07,0,dark,3
249_F4,lens3_249,vertical,0,1,0,NA,7.11,0,dark,0
249_F5,lens3_249,horizontal,3,3,0,NA,4.21,0,dark,0
249_F5,lens3_249,vertical,2,2,0,NA,7.22,1,dark,2
249_F6,lens3_249,horizontal,2,2,0,NA,0.4,0,dark,2
249_F6,lens3_249,vertical,1,2,0,NA,7.02,3,dark,1
249_F7,lens3_249,horizontal,2,3,2,1,1.07,0,dark,3
249_F7,lens3_249,vertical,0,1,0,NA,2.04,0,dark,0
249_F8,lens3_249,horizontal,2,2,0,NA,2.06,0,dark,1
249_F8,lens3_249,vertical,0,2,0,NA,6.03,1,dark,0
249_F9,lens3_249,horizontal,4,2,0,NA,8.06,0,dark,0
249_F9,lens3_249,vertical,5,1,1,1,0.45,10,dark,2
249_F10,lens3_249,horizontal,0,3,1,0,3.33,0,dark,0
249_F10,lens3_249,vertical,5,2,0,NA,10.47,1,dark,4
249_F11,lens3_249,horizontal,3,1,0,NA,11.22,0,dark,1
249_F11,lens3_249,vertical,0,2,0,NA,8.12,0,dark,0
249_F12,lens3_249,horizontal,2,1,0,NA,25.23,0,dark,2
249_F12,lens3_249,vertical,0,1,0,NA,2.48,,dark,0
C_F1,control,horizontal,NA,NA,NA,NA,2.41,NA,dark,0
C_F1,control,vertical,2,1,0,NA,6.01,0,dark,2
C_F2,control,horizontal,4,3,2,1,1.43,2,dark,0
C_F2,control,vertical,0,2,0,NA,2.11,1,dark,0
C_F3,control,horizontal,0,3,0,NA,2.22,0,dark,0
C_F4,control,horizontal,3,3,0,NA,1.46,0,dark,2
C_F6,control,horizontal,1,2,0,NA,0.22,1,dark,1
C_F6,control,vertical,1,2,0,NA,7.57,1,dark,1
C_F7,control,horizontal,1,3,1,1,0.4,0,dark,0
C_F7,control,vertical,3,2,0,NA,2.41,0,dark,1
C_F8,control,horizontal,0,3,0,NA,0.23,0,dark,0
C_F8,control,vertical,1,2,0,NA,1.56,1,dark,0
C_F9,control,horizontal,5,1,0,NA,9.55,0,dark,1
C_F9,control,vertical,0,1,0,NA,0.42,0,dark,0
C_F10,control,horizontal,2,2,0,NA,4.03,0,dark,0
C_F10,control,vertical,6,2,1,1,0.45,1,dark,3
C_F11,control,horizontal,1,2,0,0,1.5,0,dark,1
CF_17,control,horizontal,4,3,0,NA,3.16,0,dark,2
CF_17,control,vertical,1,2,0,NA,15.49,0,dark,1
CF_18,control,horizontal,4,1,0,NA,6.41,0,dark,1
CF_18,control,vertical,0,3,0,NA,4.13,0,dark,0
CF_19,control,horizontal,2,3,2,2,5.31,1,dark,0
CF_19,control,vertical,1,2,0,NA,5.31,0,dark,1