individual,probe,fold_gene_expression_RQ,log_fold_gene_expression,technician
191F7,lens3_191,0.01455673,-1.8369363,ATM
191F8,lens3_191,0.02316583,-1.6351522,ATM
191F9,lens3_191,0.02623757,-1.5810764,ATM
191F11,lens3_191,0.01518651,-1.818542,ATM
191F12,lens3_191,0.02120425,-1.6735771,ATM
249A,lens3_249,0.00710329,-2.1485402,ATM
249B,lens3_249,0.01341285,-1.8724789,ATM
249F10,lens3_249,0.01528025,-1.8158695,ATM
249F8,lens3_249,0.01342415,-1.8721133,ATM
249F9,lens3_249,0.02096538,-1.6784972,ATM
CF12,control,1.1749582,0.07002242,ATM
CF13,control,1.0005541,0.00024058,ATM
CF14,control,0.71251739,-0.1472045,ATM
CF15,control,0.73684073,-0.1326264,ATM
CF16,control,1.62019733,0.20956791,ATM